Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,3.06731e-05
spmv_sequential,1,2,NA,3.06042e-05
spmv_sequential,1,3,NA,2.99048e-05
spmv_sequential,1,4,NA,2.97707e-05
spmv_sequential,1,5,NA,2.91616e-05
spmv_sequential,1,6,NA,3.03118e-05
spmv_sequential,1,7,NA,2.91225e-05
spmv_sequential,1,8,NA,3.06973e-05
spmv_sequential,1,9,NA,3.76981e-05
spmv_sequential,1,10,NA,2.90368e-05
spmv_sequential,2,1,NA,2.98964e-05
spmv_sequential,2,2,NA,2.92892e-05
spmv_sequential,2,3,NA,3.01236e-05
spmv_sequential,2,4,NA,3.02577e-05
spmv_sequential,2,5,NA,2.97865e-05
spmv_sequential,2,6,NA,3.08612e-05
spmv_sequential,2,7,NA,3.03611e-05
spmv_sequential,2,8,NA,2.98135e-05
spmv_sequential,2,9,NA,3.02605e-05
spmv_sequential,2,10,NA,3.01804e-05
spmv_sequential,4,1,NA,3.08808e-05
spmv_sequential,4,2,NA,2.90759e-05
spmv_sequential,4,3,NA,3.07262e-05
spmv_sequential,4,4,NA,3.09236e-05
spmv_sequential,4,5,NA,3.0308e-05
spmv_sequential,4,6,NA,3.07979e-05
spmv_sequential,4,7,NA,3.15811e-05
spmv_sequential,4,8,NA,3.00743e-05
spmv_sequential,4,9,NA,3.06144e-05
spmv_sequential,4,10,NA,3.12189e-05
spmv_sequential,8,1,NA,3.05697e-05
spmv_sequential,8,2,NA,3.02764e-05
spmv_sequential,8,3,NA,3.06824e-05
spmv_sequential,8,4,NA,3.08314e-05
spmv_sequential,8,5,NA,3.08929e-05
spmv_sequential,8,6,NA,2.98386e-05
spmv_sequential,8,7,NA,3.09004e-05
spmv_sequential,8,8,NA,3.06526e-05
spmv_sequential,8,9,NA,3.02885e-05
spmv_sequential,8,10,NA,3.05707e-05
spmv_sequential,16,1,NA,2.9427e-05
spmv_sequential,16,2,NA,3.00482e-05
spmv_sequential,16,3,NA,2.91411e-05
spmv_sequential,16,4,NA,2.97921e-05
spmv_sequential,16,5,NA,3.0227e-05
spmv_sequential,16,6,NA,2.94056e-05
spmv_sequential,16,7,NA,2.88161e-05
spmv_sequential,16,8,NA,3.03593e-05
spmv_sequential,16,9,NA,2.94074e-05
spmv_sequential,16,10,NA,2.96701e-05
spmv_sequential,32,1,NA,3.01069e-05
spmv_sequential,32,2,NA,3.016e-05
spmv_sequential,32,3,NA,2.98666e-05
spmv_sequential,32,4,NA,3.04841e-05
spmv_sequential,32,5,NA,2.96403e-05
spmv_sequential,32,6,NA,2.94317e-05
spmv_sequential,32,7,NA,3.02363e-05
spmv_sequential,32,8,NA,3.03378e-05
spmv_sequential,32,9,NA,3.00203e-05
spmv_sequential,32,10,NA,2.93264e-05
spmv_sequential,64,1,NA,2.97958e-05
spmv_sequential,64,2,NA,3.06293e-05
spmv_sequential,64,3,NA,2.93404e-05
spmv_sequential,64,4,NA,2.99392e-05
spmv_sequential,64,5,NA,2.98824e-05
spmv_sequential,64,6,NA,2.96291e-05
spmv_sequential,64,7,NA,3.05353e-05
spmv_sequential,64,8,NA,2.97651e-05
spmv_sequential,64,9,NA,3.01786e-05
spmv_sequential,64,10,NA,2.99895e-05
spmv_sequential,96,1,NA,3.00799e-05
spmv_sequential,96,2,NA,3.0268e-05
spmv_sequential,96,3,NA,3.06405e-05
spmv_sequential,96,4,NA,3.22359e-05
spmv_sequential,96,5,NA,3.00528e-05
spmv_sequential,96,6,NA,3.03863e-05
spmv_sequential,96,7,NA,3.21269e-05
spmv_sequential,96,8,NA,3.06964e-05
spmv_sequential,96,9,NA,3.21399e-05
spmv_sequential,96,10,NA,2.96906e-05
spmv_static,1,1,NA,4.74649e-05
spmv_static,1,2,NA,4.3327e-05
spmv_static,1,3,NA,4.41447e-05
spmv_static,1,4,NA,4.21004e-05
spmv_static,1,5,NA,4.18052e-05
spmv_static,1,6,NA,4.35114e-05
spmv_static,1,7,NA,3.99286e-05
spmv_static,1,8,NA,4.00422e-05
spmv_static,1,9,NA,4.00115e-05
spmv_static,1,10,NA,4.30997e-05
spmv_static,2,1,NA,7.2808e-05
spmv_static,2,2,NA,6.09467e-05
spmv_static,2,3,NA,5.71972e-05
spmv_static,2,4,NA,6.55577e-05
spmv_static,2,5,NA,6.08638e-05
spmv_static,2,6,NA,5.66812e-05
spmv_static,2,7,NA,5.70174e-05
spmv_static,2,8,NA,5.55273e-05
spmv_static,2,9,NA,8.80118e-05
spmv_static,2,10,NA,7.05421e-05
spmv_static,4,1,NA,9.27597e-05
spmv_static,4,2,NA,0.000116651
spmv_static,4,3,NA,0.000100347
spmv_static,4,4,NA,8.10754e-05
spmv_static,4,5,NA,9.34377e-05
spmv_static,4,6,NA,9.26778e-05
spmv_static,4,7,NA,9.58806e-05
spmv_static,4,8,NA,9.37441e-05
spmv_static,4,9,NA,9.43048e-05
spmv_static,4,10,NA,8.31662e-05
spmv_static,8,1,NA,0.000248972
spmv_static,8,2,NA,0.00023946
spmv_static,8,3,NA,0.0001981
spmv_static,8,4,NA,0.000218027
spmv_static,8,5,NA,0.000202105
spmv_static,8,6,NA,0.000194105
spmv_static,8,7,NA,0.000218244
spmv_static,8,8,NA,0.000618977
spmv_static,8,9,NA,0.000239348
spmv_static,8,10,NA,0.000195622
spmv_static,16,1,NA,0.000404968
spmv_static,16,2,NA,0.000349186
spmv_static,16,3,NA,0.000349948
spmv_static,16,4,NA,0.000400883
spmv_static,16,5,NA,0.000340514
spmv_static,16,6,NA,0.000407774
spmv_static,16,7,NA,0.000334209
spmv_static,16,8,NA,0.000333744
spmv_static,16,9,NA,0.000391021
spmv_static,16,10,NA,0.000363973
spmv_static,32,1,NA,0.000672871
spmv_static,32,2,NA,0.000709397
spmv_static,32,3,NA,0.000635425
spmv_static,32,4,NA,0.000670608
spmv_static,32,5,NA,0.000619099
spmv_static,32,6,NA,0.000669823
spmv_static,32,7,NA,0.000681515
spmv_static,32,8,NA,0.00061861
spmv_static,32,9,NA,0.00215557
spmv_static,32,10,NA,0.000792406
spmv_static,64,1,NA,0.0147322
spmv_static,64,2,NA,0.010032
spmv_static,64,3,NA,0.00995816
spmv_static,64,4,NA,0.0101083
spmv_static,64,5,NA,0.00998964
spmv_static,64,6,NA,0.0153506
spmv_static,64,7,NA,0.0101175
spmv_static,64,8,NA,0.0100953
spmv_static,64,9,NA,0.0149337
spmv_static,64,10,NA,0.0147366
spmv_static,96,1,NA,0.0192018
spmv_static,96,2,NA,0.0196152
spmv_static,96,3,NA,0.0187634
spmv_static,96,4,NA,0.0239243
spmv_static,96,5,NA,0.01932
spmv_static,96,6,NA,0.0242051
spmv_static,96,7,NA,0.02366
spmv_static,96,8,NA,0.0194364
spmv_static,96,9,NA,0.0191168
spmv_static,96,10,NA,0.0242033
spmv_manual,1,1,NA,4.11477e-05
spmv_manual,1,2,NA,4.02015e-05
spmv_manual,1,3,NA,4.31351e-05
spmv_manual,1,4,NA,3.84236e-05
spmv_manual,1,5,NA,3.88464e-05
spmv_manual,1,6,NA,3.85279e-05
spmv_manual,1,7,NA,4.871e-05
spmv_manual,1,8,NA,4.17549e-05
spmv_manual,1,9,NA,3.87812e-05
spmv_manual,1,10,NA,3.85167e-05
spmv_manual,2,1,NA,7.71293e-05
spmv_manual,2,2,NA,5.5314e-05
spmv_manual,2,3,NA,5.94035e-05
spmv_manual,2,4,NA,5.70966e-05
spmv_manual,2,5,NA,9.77237e-05
spmv_manual,2,6,NA,5.92852e-05
spmv_manual,2,7,NA,5.91995e-05
spmv_manual,2,8,NA,6.39847e-05
spmv_manual,2,9,NA,6.21071e-05
spmv_manual,2,10,NA,8.66866e-05
spmv_manual,4,1,NA,8.7047e-05
spmv_manual,4,2,NA,8.73255e-05
spmv_manual,4,3,NA,7.64113e-05
spmv_manual,4,4,NA,7.42385e-05
spmv_manual,4,5,NA,7.62744e-05
spmv_manual,4,6,NA,0.000178139
spmv_manual,4,7,NA,0.000113896
spmv_manual,4,8,NA,0.000210958
spmv_manual,4,9,NA,0.000185275
spmv_manual,4,10,NA,0.000192297
spmv_manual,8,1,NA,0.000228053
spmv_manual,8,2,NA,0.000645389
spmv_manual,8,3,NA,0.000211031
spmv_manual,8,4,NA,0.000287685
spmv_manual,8,5,NA,0.000176575
spmv_manual,8,6,NA,0.000194896
spmv_manual,8,7,NA,0.000254373
spmv_manual,8,8,NA,0.000258688
spmv_manual,8,9,NA,0.000219521
spmv_manual,8,10,NA,0.00017586
spmv_manual,16,1,NA,0.00038518
spmv_manual,16,2,NA,0.000326985
spmv_manual,16,3,NA,0.000360906
spmv_manual,16,4,NA,0.000366881
spmv_manual,16,5,NA,0.000315603
spmv_manual,16,6,NA,0.000392491
spmv_manual,16,7,NA,0.000312676
spmv_manual,16,8,NA,0.000316428
spmv_manual,16,9,NA,0.000326096
spmv_manual,16,10,NA,0.000284317
spmv_manual,32,1,NA,0.000705904
spmv_manual,32,2,NA,0.000648005
spmv_manual,32,3,NA,0.000645904
spmv_manual,32,4,NA,0.000637111
spmv_manual,32,5,NA,0.000602443
spmv_manual,32,6,NA,0.000633711
spmv_manual,32,7,NA,0.000672968
spmv_manual,32,8,NA,0.000576656
spmv_manual,32,9,NA,0.000664973
spmv_manual,32,10,NA,0.000654265
spmv_manual,64,1,NA,0.0106541
spmv_manual,64,2,NA,0.014806
spmv_manual,64,3,NA,0.0151086
spmv_manual,64,4,NA,0.0100029
spmv_manual,64,5,NA,0.0147493
spmv_manual,64,6,NA,0.0150414
spmv_manual,64,7,NA,0.0100401
spmv_manual,64,8,NA,0.0148397
spmv_manual,64,9,NA,0.0104225
spmv_manual,64,10,NA,0.0100062
spmv_manual,96,1,NA,0.0192891
spmv_manual,96,2,NA,0.0187629
spmv_manual,96,3,NA,0.0191875
spmv_manual,96,4,NA,0.0192051
spmv_manual,96,5,NA,0.0193141
spmv_manual,96,6,NA,0.0192943
spmv_manual,96,7,NA,0.0191606
spmv_manual,96,8,NA,0.0239676
spmv_manual,96,9,NA,0.0191963
spmv_manual,96,10,NA,0.0192036
spmv_dynamic,1,1,NA,6.43972e-05
spmv_dynamic,1,2,NA,6.53649e-05
spmv_dynamic,1,3,NA,5.89602e-05
spmv_dynamic,1,4,NA,5.86556e-05
spmv_dynamic,1,5,NA,6.23036e-05
spmv_dynamic,1,6,NA,5.65238e-05
spmv_dynamic,1,7,NA,5.73946e-05
spmv_dynamic,1,8,NA,5.77914e-05
spmv_dynamic,1,9,NA,5.67883e-05
spmv_dynamic,1,10,NA,5.67958e-05
spmv_dynamic,2,1,NA,0.000129053
spmv_dynamic,2,2,NA,0.00024852
spmv_dynamic,2,3,NA,0.000266018
spmv_dynamic,2,4,NA,0.000177357
spmv_dynamic,2,5,NA,0.000126394
spmv_dynamic,2,6,NA,0.000129802
spmv_dynamic,2,7,NA,0.000131887
spmv_dynamic,2,8,NA,0.000129339
spmv_dynamic,2,9,NA,0.000130299
spmv_dynamic,2,10,NA,0.000124324
spmv_dynamic,4,1,NA,0.000152953
spmv_dynamic,4,2,NA,0.000269118
spmv_dynamic,4,3,NA,0.000188092
spmv_dynamic,4,4,NA,0.00106265
spmv_dynamic,4,5,NA,0.000181058
spmv_dynamic,4,6,NA,0.000183701
spmv_dynamic,4,7,NA,0.000252839
spmv_dynamic,4,8,NA,0.00023782
spmv_dynamic,4,9,NA,0.000167594
spmv_dynamic,4,10,NA,0.000214393
spmv_dynamic,8,1,NA,0.000391786
spmv_dynamic,8,2,NA,0.000310681
spmv_dynamic,8,3,NA,0.000449391
spmv_dynamic,8,4,NA,0.000384412
spmv_dynamic,8,5,NA,0.000375679
spmv_dynamic,8,6,NA,0.00047962
spmv_dynamic,8,7,NA,0.000332265
spmv_dynamic,8,8,NA,0.000335542
spmv_dynamic,8,9,NA,0.000355093
spmv_dynamic,8,10,NA,0.000413592
spmv_dynamic,16,1,NA,0.000546052
spmv_dynamic,16,2,NA,0.000551835
spmv_dynamic,16,3,NA,0.000555768
spmv_dynamic,16,4,NA,0.000538359
spmv_dynamic,16,5,NA,0.000509568
spmv_dynamic,16,6,NA,0.000543492
spmv_dynamic,16,7,NA,0.000548042
spmv_dynamic,16,8,NA,0.000489413
spmv_dynamic,16,9,NA,0.000576719
spmv_dynamic,16,10,NA,0.000506742
spmv_dynamic,32,1,NA,0.000945402
spmv_dynamic,32,2,NA,0.000795766
spmv_dynamic,32,3,NA,0.000864401
spmv_dynamic,32,4,NA,0.00158491
spmv_dynamic,32,5,NA,0.000743202
spmv_dynamic,32,6,NA,0.000866975
spmv_dynamic,32,7,NA,0.000966937
spmv_dynamic,32,8,NA,0.000864336
spmv_dynamic,32,9,NA,0.00123159
spmv_dynamic,32,10,NA,0.000801108
spmv_dynamic,64,1,NA,0.0153374
spmv_dynamic,64,2,NA,0.0101599
spmv_dynamic,64,3,NA,0.0150979
spmv_dynamic,64,4,NA,0.0108326
spmv_dynamic,64,5,NA,0.0104072
spmv_dynamic,64,6,NA,0.0138729
spmv_dynamic,64,7,NA,0.010287
spmv_dynamic,64,8,NA,0.0150858
spmv_dynamic,64,9,NA,0.0149438
spmv_dynamic,64,10,NA,0.0103866
spmv_dynamic,96,1,NA,0.0196285
spmv_dynamic,96,2,NA,0.0142939
spmv_dynamic,96,3,NA,0.0194862
spmv_dynamic,96,4,NA,0.0193325
spmv_dynamic,96,5,NA,0.0241548
spmv_dynamic,96,6,NA,0.0243673
spmv_dynamic,96,7,NA,0.0194902
spmv_dynamic,96,8,NA,0.0192716
spmv_dynamic,96,9,NA,0.0195926
spmv_dynamic,96,10,NA,0.0196471
spmv_guided,1,1,NA,4.79519e-05
spmv_guided,1,2,NA,4.70504e-05
spmv_guided,1,3,NA,4.1808e-05
spmv_guided,1,4,NA,4.93405e-05
spmv_guided,1,5,NA,4.94514e-05
spmv_guided,1,6,NA,4.67179e-05
spmv_guided,1,7,NA,6.06002e-05
spmv_guided,1,8,NA,4.34062e-05
spmv_guided,1,9,NA,4.29787e-05
spmv_guided,1,10,NA,4.24236e-05
spmv_guided,2,1,NA,6.2909e-05
spmv_guided,2,2,NA,6.70636e-05
spmv_guided,2,3,NA,6.51432e-05
spmv_guided,2,4,NA,8.85213e-05
spmv_guided,2,5,NA,0.00011533
spmv_guided,2,6,NA,6.18007e-05
spmv_guided,2,7,NA,0.000100443
spmv_guided,2,8,NA,9.0627e-05
spmv_guided,2,9,NA,8.68281e-05
spmv_guided,2,10,NA,0.000517957
spmv_guided,4,1,NA,0.000119326
spmv_guided,4,2,NA,0.000113781
spmv_guided,4,3,NA,0.000100653
spmv_guided,4,4,NA,0.000183889
spmv_guided,4,5,NA,8.6003e-05
spmv_guided,4,6,NA,8.5962e-05
spmv_guided,4,7,NA,0.000120462
spmv_guided,4,8,NA,0.000206169
spmv_guided,4,9,NA,0.000122881
spmv_guided,4,10,NA,0.00013118
spmv_guided,8,1,NA,0.000260416
spmv_guided,8,2,NA,0.000222391
spmv_guided,8,3,NA,0.000246916
spmv_guided,8,4,NA,0.000195567
spmv_guided,8,5,NA,0.000168594
spmv_guided,8,6,NA,0.000205972
spmv_guided,8,7,NA,0.00021038
spmv_guided,8,8,NA,0.000163101
spmv_guided,8,9,NA,0.000159631
spmv_guided,8,10,NA,0.000221717
spmv_guided,16,1,NA,0.000417812
spmv_guided,16,2,NA,0.000461301
spmv_guided,16,3,NA,0.000339373
spmv_guided,16,4,NA,0.0008501
spmv_guided,16,5,NA,0.000403037
spmv_guided,16,6,NA,0.000464578
spmv_guided,16,7,NA,0.00035074
spmv_guided,16,8,NA,0.000409039
spmv_guided,16,9,NA,0.000450037
spmv_guided,16,10,NA,0.000363981
spmv_guided,32,1,NA,0.00079177
spmv_guided,32,2,NA,0.00106101
spmv_guided,32,3,NA,0.00079211
spmv_guided,32,4,NA,0.00075981
spmv_guided,32,5,NA,0.000755126
spmv_guided,32,6,NA,0.0016166
spmv_guided,32,7,NA,0.00112044
spmv_guided,32,8,NA,0.000609055
spmv_guided,32,9,NA,0.000833117
spmv_guided,32,10,NA,0.001142
spmv_guided,64,1,NA,0.0101144
spmv_guided,64,2,NA,0.0149371
spmv_guided,64,3,NA,0.0101409
spmv_guided,64,4,NA,0.0106221
spmv_guided,64,5,NA,0.0104703
spmv_guided,64,6,NA,0.01093
spmv_guided,64,7,NA,0.0104704
spmv_guided,64,8,NA,0.011308
spmv_guided,64,9,NA,0.010044
spmv_guided,64,10,NA,0.0151913
spmv_guided,96,1,NA,0.0192589
spmv_guided,96,2,NA,0.0193743
spmv_guided,96,3,NA,0.0192975
spmv_guided,96,4,NA,0.0191844
spmv_guided,96,5,NA,0.0184456
spmv_guided,96,6,NA,0.0203494
spmv_guided,96,7,NA,0.0222304
spmv_guided,96,8,NA,0.0191332
spmv_guided,96,9,NA,0.0140764
spmv_guided,96,10,NA,0.0192893
spmv_auto,1,1,NA,4.29945e-05
spmv_auto,1,2,NA,5.58635e-05
