Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.00329616
spmv_sequential,1,2,NA,0.00323421
spmv_sequential,1,3,NA,0.00354176
spmv_sequential,1,4,NA,0.00326678
spmv_sequential,1,5,NA,0.00335405
spmv_sequential,1,6,NA,0.0032139
spmv_sequential,1,7,NA,0.00328244
spmv_sequential,1,8,NA,0.00383542
spmv_sequential,1,9,NA,0.00322469
spmv_sequential,1,10,NA,0.00327257
spmv_sequential,2,1,NA,0.00325331
spmv_sequential,2,2,NA,0.00324456
spmv_sequential,2,3,NA,0.00439966
spmv_sequential,2,4,NA,0.00323511
spmv_sequential,2,5,NA,0.00333237
spmv_sequential,2,6,NA,0.0164317
spmv_sequential,2,7,NA,0.00327631
spmv_sequential,2,8,NA,0.00325303
spmv_sequential,2,9,NA,0.00311496
spmv_sequential,2,10,NA,0.00324753
spmv_sequential,4,1,NA,0.00322114
spmv_sequential,4,2,NA,0.00312137
spmv_sequential,4,3,NA,0.00319175
spmv_sequential,4,4,NA,0.00327492
spmv_sequential,4,5,NA,0.00326893
spmv_sequential,4,6,NA,0.0033035
spmv_sequential,4,7,NA,0.00342603
spmv_sequential,4,8,NA,0.00326213
spmv_sequential,4,9,NA,0.00325265
spmv_sequential,4,10,NA,0.00325226
spmv_sequential,8,1,NA,0.00336292
spmv_sequential,8,2,NA,0.00330566
spmv_sequential,8,3,NA,0.00338591
spmv_sequential,8,4,NA,0.00349152
spmv_sequential,8,5,NA,0.00441588
spmv_sequential,8,6,NA,0.00436511
spmv_sequential,8,7,NA,0.00332347
spmv_sequential,8,8,NA,0.00336613
spmv_sequential,8,9,NA,0.00334096
spmv_sequential,8,10,NA,0.00447226
spmv_sequential,16,1,NA,0.00349252
spmv_sequential,16,2,NA,0.00335623
spmv_sequential,16,3,NA,0.00351559
spmv_sequential,16,4,NA,0.00322695
spmv_sequential,16,5,NA,0.00344363
spmv_sequential,16,6,NA,0.0031945
spmv_sequential,16,7,NA,0.00335787
spmv_sequential,16,8,NA,0.00346686
spmv_sequential,16,9,NA,0.00320897
spmv_sequential,16,10,NA,0.00325905
spmv_sequential,32,1,NA,0.0032838
spmv_sequential,32,2,NA,0.00336774
spmv_sequential,32,3,NA,0.00329554
spmv_sequential,32,4,NA,0.00339871
spmv_sequential,32,5,NA,0.00325078
spmv_sequential,32,6,NA,0.00341642
spmv_sequential,32,7,NA,0.00323339
spmv_sequential,32,8,NA,0.00334458
spmv_sequential,32,9,NA,0.00315793
spmv_sequential,32,10,NA,0.00449728
spmv_sequential,64,1,NA,0.0034799
spmv_sequential,64,2,NA,0.00317843
spmv_sequential,64,3,NA,0.00325738
spmv_sequential,64,4,NA,0.00332111
spmv_sequential,64,5,NA,0.00323241
spmv_sequential,64,6,NA,0.00321466
spmv_sequential,64,7,NA,0.00334987
spmv_sequential,64,8,NA,0.00321952
spmv_sequential,64,9,NA,0.00320263
spmv_sequential,64,10,NA,0.0030957
spmv_sequential,96,1,NA,0.00302229
spmv_sequential,96,2,NA,0.00302305
spmv_sequential,96,3,NA,0.00289621
spmv_sequential,96,4,NA,0.0030126
spmv_sequential,96,5,NA,0.00323199
spmv_sequential,96,6,NA,0.00300468
spmv_sequential,96,7,NA,0.00296087
spmv_sequential,96,8,NA,0.00294597
spmv_sequential,96,9,NA,0.00310295
spmv_sequential,96,10,NA,0.00305074
spmv_static,1,1,NA,0.00309791
spmv_static,1,2,NA,0.00300065
spmv_static,1,3,NA,0.00303279
spmv_static,1,4,NA,0.00308751
spmv_static,1,5,NA,0.00320357
spmv_static,1,6,NA,0.00305215
spmv_static,1,7,NA,0.00294914
spmv_static,1,8,NA,0.00305754
spmv_static,1,9,NA,0.00305154
spmv_static,1,10,NA,0.00304636
spmv_static,2,1,NA,0.00175131
spmv_static,2,2,NA,0.00174879
spmv_static,2,3,NA,0.0015895
spmv_static,2,4,NA,0.00173064
spmv_static,2,5,NA,0.00178654
spmv_static,2,6,NA,0.00159679
spmv_static,2,7,NA,0.00167294
spmv_static,2,8,NA,0.00180151
spmv_static,2,9,NA,0.00162365
spmv_static,2,10,NA,0.00155128
spmv_static,4,1,NA,0.00100979
spmv_static,4,2,NA,0.00091127
spmv_static,4,3,NA,0.00109661
spmv_static,4,4,NA,0.000994239
spmv_static,4,5,NA,0.00100575
spmv_static,4,6,NA,0.000994383
spmv_static,4,7,NA,0.000904146
spmv_static,4,8,NA,0.00109656
spmv_static,4,9,NA,0.000942389
spmv_static,4,10,NA,0.000991044
spmv_static,8,1,NA,0.000752915
spmv_static,8,2,NA,0.000701217
spmv_static,8,3,NA,0.000736694
spmv_static,8,4,NA,0.000805977
spmv_static,8,5,NA,0.0007504
spmv_static,8,6,NA,0.000735302
spmv_static,8,7,NA,0.000762456
spmv_static,8,8,NA,0.000732338
spmv_static,8,9,NA,0.000751937
spmv_static,8,10,NA,0.000761447
spmv_static,16,1,NA,0.000968048
spmv_static,16,2,NA,0.000983503
spmv_static,16,3,NA,0.000930963
spmv_static,16,4,NA,0.000765635
spmv_static,16,5,NA,0.000937165
spmv_static,16,6,NA,0.00143346
spmv_static,16,7,NA,0.00079443
spmv_static,16,8,NA,0.000874197
spmv_static,16,9,NA,0.000925648
spmv_static,16,10,NA,0.000913306
spmv_static,32,1,NA,0.00176368
spmv_static,32,2,NA,0.00207474
spmv_static,32,3,NA,0.0015297
spmv_static,32,4,NA,0.00138238
spmv_static,32,5,NA,0.00206636
spmv_static,32,6,NA,0.0016746
spmv_static,32,7,NA,0.00318602
spmv_static,32,8,NA,0.00182428
spmv_static,32,9,NA,0.0013632
spmv_static,32,10,NA,0.00172138
spmv_static,64,1,NA,0.0162059
spmv_static,64,2,NA,0.0117938
spmv_static,64,3,NA,0.0112883
spmv_static,64,4,NA,0.011076
spmv_static,64,5,NA,0.0107671
spmv_static,64,6,NA,0.0107172
spmv_static,64,7,NA,0.0116566
spmv_static,64,8,NA,0.0116973
spmv_static,64,9,NA,0.0159807
spmv_static,64,10,NA,0.0157018
spmv_static,96,1,NA,0.0252172
spmv_static,96,2,NA,0.0206461
spmv_static,96,3,NA,0.0199337
spmv_static,96,4,NA,0.0201308
spmv_static,96,5,NA,0.0199896
spmv_static,96,6,NA,0.0201712
spmv_static,96,7,NA,0.0250217
spmv_static,96,8,NA,0.0248367
spmv_static,96,9,NA,0.0199439
spmv_static,96,10,NA,0.0197926
spmv_manual,1,1,NA,0.00271483
spmv_manual,1,2,NA,0.00262829
spmv_manual,1,3,NA,0.0026675
spmv_manual,1,4,NA,0.00258832
spmv_manual,1,5,NA,0.00278804
spmv_manual,1,6,NA,0.00256783
spmv_manual,1,7,NA,0.00257458
spmv_manual,1,8,NA,0.00269788
spmv_manual,1,9,NA,0.00254079
spmv_manual,1,10,NA,0.00257437
spmv_manual,2,1,NA,0.00146261
spmv_manual,2,2,NA,0.00149194
spmv_manual,2,3,NA,0.00152073
spmv_manual,2,4,NA,0.0014985
spmv_manual,2,5,NA,0.0014903
spmv_manual,2,6,NA,0.00155119
spmv_manual,2,7,NA,0.00146571
spmv_manual,2,8,NA,0.0014999
spmv_manual,2,9,NA,0.00148611
spmv_manual,2,10,NA,0.00148696
spmv_manual,4,1,NA,0.00084853
spmv_manual,4,2,NA,0.000972127
spmv_manual,4,3,NA,0.000884389
spmv_manual,4,4,NA,0.000877318
spmv_manual,4,5,NA,0.000905382
spmv_manual,4,6,NA,0.000872673
spmv_manual,4,7,NA,0.000855151
spmv_manual,4,8,NA,0.000845537
spmv_manual,4,9,NA,0.00087487
spmv_manual,4,10,NA,0.000889257
spmv_manual,8,1,NA,0.000741342
spmv_manual,8,2,NA,0.000639749
spmv_manual,8,3,NA,0.000657991
spmv_manual,8,4,NA,0.000633887
spmv_manual,8,5,NA,0.000590687
spmv_manual,8,6,NA,0.000612509
spmv_manual,8,7,NA,0.00060029
spmv_manual,8,8,NA,0.000648203
spmv_manual,8,9,NA,0.000702171
spmv_manual,8,10,NA,0.000659187
spmv_manual,16,1,NA,0.00073631
spmv_manual,16,2,NA,0.000854048
spmv_manual,16,3,NA,0.000692966
spmv_manual,16,4,NA,0.000704206
spmv_manual,16,5,NA,0.000751397
spmv_manual,16,6,NA,0.000765187
spmv_manual,16,7,NA,0.000733636
spmv_manual,16,8,NA,0.000713523
spmv_manual,16,9,NA,0.000709819
spmv_manual,16,10,NA,0.000771607
spmv_manual,32,1,NA,0.000990196
spmv_manual,32,2,NA,0.000898317
spmv_manual,32,3,NA,0.00131841
spmv_manual,32,4,NA,0.00110101
spmv_manual,32,5,NA,0.000987338
spmv_manual,32,6,NA,0.000907066
spmv_manual,32,7,NA,0.000945039
spmv_manual,32,8,NA,0.00153113
spmv_manual,32,9,NA,0.000882914
spmv_manual,32,10,NA,0.000885506
spmv_manual,64,1,NA,0.0151453
spmv_manual,64,2,NA,0.0103431
spmv_manual,64,3,NA,0.0105091
spmv_manual,64,4,NA,0.0103439
spmv_manual,64,5,NA,0.0109541
spmv_manual,64,6,NA,0.0103192
spmv_manual,64,7,NA,0.0150639
spmv_manual,64,8,NA,0.0112065
spmv_manual,64,9,NA,0.0103422
spmv_manual,64,10,NA,0.0161135
spmv_manual,96,1,NA,0.0188506
spmv_manual,96,2,NA,0.0195548
spmv_manual,96,3,NA,0.0158859
spmv_manual,96,4,NA,0.0195178
spmv_manual,96,5,NA,0.0193895
spmv_manual,96,6,NA,0.0178118
spmv_manual,96,7,NA,0.0192834
spmv_manual,96,8,NA,0.0194436
spmv_manual,96,9,NA,0.0193712
spmv_manual,96,10,NA,0.0195233
spmv_dynamic,1,1,NA,0.00271232
spmv_dynamic,1,2,NA,0.00268794
spmv_dynamic,1,3,NA,0.00278108
spmv_dynamic,1,4,NA,0.00272279
spmv_dynamic,1,5,NA,0.00274879
