Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.00314295
spmv_runtime_static,1,2,10,0.00294475
spmv_runtime_static,1,3,10,0.00310317
spmv_runtime_static,1,4,10,0.00307995
spmv_runtime_static,1,5,10,0.00293234
spmv_runtime_static,1,6,10,0.00315508
spmv_runtime_static,1,7,10,0.00318439
spmv_runtime_static,1,8,10,0.00302396
spmv_runtime_static,1,9,10,0.00293474
spmv_runtime_static,1,10,10,0.00293156
spmv_runtime_static,2,1,10,0.00173813
spmv_runtime_static,2,2,10,0.00206925
spmv_runtime_static,2,3,10,0.00190188
spmv_runtime_static,2,4,10,0.00194157
spmv_runtime_static,2,5,10,0.00188433
spmv_runtime_static,2,6,10,0.0016909
spmv_runtime_static,2,7,10,0.00164281
spmv_runtime_static,2,8,10,0.00178146
spmv_runtime_static,2,9,10,0.00416578
spmv_runtime_static,2,10,10,0.00449775
spmv_runtime_static,4,1,10,0.00102354
spmv_runtime_static,4,2,10,0.00109166
spmv_runtime_static,4,3,10,0.00101673
spmv_runtime_static,4,4,10,0.00108401
spmv_runtime_static,4,5,10,0.00111563
spmv_runtime_static,4,6,10,0.00106347
spmv_runtime_static,4,7,10,0.000964082
spmv_runtime_static,4,8,10,0.00109247
spmv_runtime_static,4,9,10,0.00106268
spmv_runtime_static,4,10,10,0.00106778
spmv_runtime_static,8,1,10,0.000802263
spmv_runtime_static,8,2,10,0.000749171
spmv_runtime_static,8,3,10,0.000818401
spmv_runtime_static,8,4,10,0.000800406
spmv_runtime_static,8,5,10,0.000777867
spmv_runtime_static,8,6,10,0.000894086
spmv_runtime_static,8,7,10,0.000876025
spmv_runtime_static,8,8,10,0.000819704
spmv_runtime_static,8,9,10,0.000776474
spmv_runtime_static,8,10,10,0.000752193
spmv_runtime_static,16,1,10,0.000788327
spmv_runtime_static,16,2,10,0.000850258
spmv_runtime_static,16,3,10,0.00110096
spmv_runtime_static,16,4,10,0.000829173
spmv_runtime_static,16,5,10,0.000856062
spmv_runtime_static,16,6,10,0.000862467
spmv_runtime_static,16,7,10,0.00085736
spmv_runtime_static,16,8,10,0.000835533
spmv_runtime_static,16,9,10,0.000777697
spmv_runtime_static,16,10,10,0.000800077
spmv_runtime_static,32,1,10,0.00137378
spmv_runtime_static,32,2,10,0.00160873
spmv_runtime_static,32,3,10,0.00151051
spmv_runtime_static,32,4,10,0.00153989
spmv_runtime_static,32,5,10,0.00158544
spmv_runtime_static,32,6,10,0.00168037
spmv_runtime_static,32,7,10,0.00172003
spmv_runtime_static,32,8,10,0.00140921
spmv_runtime_static,32,9,10,0.00207103
spmv_runtime_static,32,10,10,0.00150816
spmv_runtime_static,64,1,10,0.0158825
spmv_runtime_static,64,2,10,0.0118468
spmv_runtime_static,64,3,10,0.0157135
spmv_runtime_static,64,4,10,0.0157281
spmv_runtime_static,64,5,10,0.0109716
spmv_runtime_static,64,6,10,0.0112737
spmv_runtime_static,64,7,10,0.0109881
spmv_runtime_static,64,8,10,0.0108019
spmv_runtime_static,64,9,10,0.0107605
spmv_runtime_static,64,10,10,0.0155487
spmv_runtime_static,96,1,10,0.0203039
spmv_runtime_static,96,2,10,0.0198208
spmv_runtime_static,96,3,10,0.0198566
spmv_runtime_static,96,4,10,0.019771
spmv_runtime_static,96,5,10,0.0200815
spmv_runtime_static,96,6,10,0.0198634
spmv_runtime_static,96,7,10,0.0245435
spmv_runtime_static,96,8,10,0.0249277
spmv_runtime_static,96,9,10,0.0245647
spmv_runtime_static,96,10,10,0.0197897
spmv_runtime_static,1,1,100,0.00263037
spmv_runtime_static,1,2,100,0.00273306
spmv_runtime_static,1,3,100,0.00266559
spmv_runtime_static,1,4,100,0.00266008
spmv_runtime_static,1,5,100,0.00263864
spmv_runtime_static,1,6,100,0.00264665
spmv_runtime_static,1,7,100,0.00265576
spmv_runtime_static,1,8,100,0.00271671
spmv_runtime_static,1,9,100,0.00285162
spmv_runtime_static,1,10,100,0.00265937
spmv_runtime_static,2,1,100,0.00152921
spmv_runtime_static,2,2,100,0.00152887
spmv_runtime_static,2,3,100,0.00146642
spmv_runtime_static,2,4,100,0.00153009
spmv_runtime_static,2,5,100,0.0014609
spmv_runtime_static,2,6,100,0.00145911
spmv_runtime_static,2,7,100,0.00154099
spmv_runtime_static,2,8,100,0.00151967
spmv_runtime_static,2,9,100,0.0015371
spmv_runtime_static,2,10,100,0.001449
spmv_runtime_static,4,1,100,0.000897516
spmv_runtime_static,4,2,100,0.000900638
spmv_runtime_static,4,3,100,0.000907212
spmv_runtime_static,4,4,100,0.000875604
spmv_runtime_static,4,5,100,0.000866816
