Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000402134
spmv_runtime_static,1,2,10,0.000405524
spmv_runtime_static,1,3,10,0.000408689
spmv_runtime_static,1,4,10,0.000440482
spmv_runtime_static,1,5,10,0.000428306
spmv_runtime_static,1,6,10,0.000421789
spmv_runtime_static,1,7,10,0.000411683
spmv_runtime_static,1,8,10,0.000401761
spmv_runtime_static,1,9,10,0.000421074
spmv_runtime_static,1,10,10,0.000396864
spmv_runtime_static,2,1,10,0.0116166
spmv_runtime_static,2,2,10,0.0141667
spmv_runtime_static,2,3,10,0.0168652
spmv_runtime_static,2,4,10,0.0178556
spmv_runtime_static,2,5,10,0.0167478
spmv_runtime_static,2,6,10,0.0142605
spmv_runtime_static,2,7,10,0.0172079
spmv_runtime_static,2,8,10,0.0168339
spmv_runtime_static,2,9,10,0.0116491
spmv_runtime_static,2,10,10,0.0171739
spmv_runtime_static,4,1,10,0.0149281
spmv_runtime_static,4,2,10,0.0204398
spmv_runtime_static,4,3,10,0.0198042
spmv_runtime_static,4,4,10,0.0235286
spmv_runtime_static,4,5,10,0.0185087
spmv_runtime_static,4,6,10,0.0345601
spmv_runtime_static,4,7,10,0.0303116
spmv_runtime_static,4,8,10,0.0146611
spmv_runtime_static,4,9,10,0.0145184
spmv_runtime_static,4,10,10,0.0148087
spmv_runtime_static,8,1,10,0.0303694
spmv_runtime_static,8,2,10,0.0289529
spmv_runtime_static,8,3,10,0.0270517
spmv_runtime_static,8,4,10,0.0446729
spmv_runtime_static,8,5,10,0.0269827
spmv_runtime_static,8,6,10,0.0210925
spmv_runtime_static,8,7,10,0.0211806
spmv_runtime_static,8,8,10,0.0268588
spmv_runtime_static,8,9,10,0.0393432
spmv_runtime_static,8,10,10,0.0267646
spmv_runtime_static,16,1,10,0.0340432
spmv_runtime_static,16,2,10,0.0246249
spmv_runtime_static,16,3,10,0.0286872
spmv_runtime_static,16,4,10,0.0360154
spmv_runtime_static,16,5,10,0.0240498
spmv_runtime_static,16,6,10,0.0272061
spmv_runtime_static,16,7,10,0.0332004
spmv_runtime_static,16,8,10,0.0382803
spmv_runtime_static,16,9,10,0.0314154
spmv_runtime_static,16,10,10,0.0311365
spmv_runtime_static,32,1,10,0.0309459
spmv_runtime_static,32,2,10,0.0306202
spmv_runtime_static,32,3,10,0.0365388
spmv_runtime_static,32,4,10,0.0361217
spmv_runtime_static,32,5,10,0.0458353
spmv_runtime_static,32,6,10,0.0363981
spmv_runtime_static,32,7,10,0.0425243
spmv_runtime_static,32,8,10,0.0314919
spmv_runtime_static,32,9,10,0.0324663
spmv_runtime_static,32,10,10,0.0308306
spmv_runtime_static,64,1,10,0.0325853
spmv_runtime_static,64,2,10,0.0325139
spmv_runtime_static,64,3,10,0.0329189
spmv_runtime_static,64,4,10,0.0322654
spmv_runtime_static,64,5,10,0.0318987
spmv_runtime_static,64,6,10,0.0370563
spmv_runtime_static,64,7,10,0.0375203
spmv_runtime_static,64,8,10,0.0357976
spmv_runtime_static,64,9,10,0.0306615
spmv_runtime_static,64,10,10,0.0372702
spmv_runtime_static,96,1,10,0.0426064
spmv_runtime_static,96,2,10,0.0468261
spmv_runtime_static,96,3,10,0.0372879
spmv_runtime_static,96,4,10,0.0448409
spmv_runtime_static,96,5,10,0.0363954
spmv_runtime_static,96,6,10,0.0476562
spmv_runtime_static,96,7,10,0.0395473
spmv_runtime_static,96,8,10,0.0394849
spmv_runtime_static,96,9,10,0.0422965
spmv_runtime_static,96,10,10,0.0392957
spmv_runtime_static,1,1,100,0.000420067
spmv_runtime_static,1,2,100,0.000403977
spmv_runtime_static,1,3,100,0.000402535
spmv_runtime_static,1,4,100,0.000476852
spmv_runtime_static,1,5,100,0.000423305
spmv_runtime_static,1,6,100,0.000405576
spmv_runtime_static,1,7,100,0.000401319
spmv_runtime_static,1,8,100,0.000396731
spmv_runtime_static,1,9,100,0.000415681
spmv_runtime_static,1,10,100,0.000437503
spmv_runtime_static,2,1,100,0.00131308
spmv_runtime_static,2,2,100,0.000998242
spmv_runtime_static,2,3,100,0.000448111
spmv_runtime_static,2,4,100,0.000821145
spmv_runtime_static,2,5,100,0.000824844
spmv_runtime_static,2,6,100,0.000731974
spmv_runtime_static,2,7,100,0.00112435
spmv_runtime_static,2,8,100,0.000860874
spmv_runtime_static,2,9,100,0.00119642
spmv_runtime_static,2,10,100,0.000609541
spmv_runtime_static,4,1,100,0.0165547
spmv_runtime_static,4,2,100,0.0143634
spmv_runtime_static,4,3,100,0.016894
spmv_runtime_static,4,4,100,0.010729
spmv_runtime_static,4,5,100,0.0370107
spmv_runtime_static,4,6,100,0.0164576
spmv_runtime_static,4,7,100,0.0155158
spmv_runtime_static,4,8,100,0.0021232
spmv_runtime_static,4,9,100,0.000685827
spmv_runtime_static,4,10,100,0.0212
spmv_runtime_static,8,1,100,0.0268478
spmv_runtime_static,8,2,100,0.0274567
spmv_runtime_static,8,3,100,0.0246474
spmv_runtime_static,8,4,100,0.0140438
spmv_runtime_static,8,5,100,0.0271496
spmv_runtime_static,8,6,100,0.0254515
spmv_runtime_static,8,7,100,0.0308804
spmv_runtime_static,8,8,100,0.0218337
spmv_runtime_static,8,9,100,0.0202055
spmv_runtime_static,8,10,100,0.0142338
spmv_runtime_static,16,1,100,0.0322769
spmv_runtime_static,16,2,100,0.0275947
spmv_runtime_static,16,3,100,0.0281427
spmv_runtime_static,16,4,100,0.0248309
spmv_runtime_static,16,5,100,0.0270616
spmv_runtime_static,16,6,100,0.0151233
spmv_runtime_static,16,7,100,0.0164277
spmv_runtime_static,16,8,100,0.0240887
spmv_runtime_static,16,9,100,0.0213823
spmv_runtime_static,16,10,100,0.0262479
spmv_runtime_static,32,1,100,0.027825
spmv_runtime_static,32,2,100,0.037741
spmv_runtime_static,32,3,100,0.0317924
spmv_runtime_static,32,4,100,0.0275953
spmv_runtime_static,32,5,100,0.0254593
spmv_runtime_static,32,6,100,0.0284304
spmv_runtime_static,32,7,100,0.0325025
spmv_runtime_static,32,8,100,0.0312977
spmv_runtime_static,32,9,100,0.0382036
spmv_runtime_static,32,10,100,0.0269617
spmv_runtime_static,64,1,100,0.0331786
spmv_runtime_static,64,2,100,0.0350807
spmv_runtime_static,64,3,100,0.0286058
spmv_runtime_static,64,4,100,0.0336249
spmv_runtime_static,64,5,100,0.0297927
spmv_runtime_static,64,6,100,0.0291727
spmv_runtime_static,64,7,100,0.0367942
spmv_runtime_static,64,8,100,0.0384293
spmv_runtime_static,64,9,100,0.0324906
spmv_runtime_static,64,10,100,0.0311035
spmv_runtime_static,96,1,100,0.0393496
spmv_runtime_static,96,2,100,0.0408148
spmv_runtime_static,96,3,100,0.0319971
spmv_runtime_static,96,4,100,0.0329588
spmv_runtime_static,96,5,100,0.0319071
spmv_runtime_static,96,6,100,0.0303187
spmv_runtime_static,96,7,100,0.046052
spmv_runtime_static,96,8,100,0.0324005
spmv_runtime_static,96,9,100,0.0323774
spmv_runtime_static,96,10,100,0.0296129
spmv_runtime_static,1,1,1000,0.000378085
spmv_runtime_static,1,2,1000,0.000371612
spmv_runtime_static,1,3,1000,0.000355498
spmv_runtime_static,1,4,1000,0.00039625
spmv_runtime_static,1,5,1000,0.000383357
spmv_runtime_static,1,6,1000,0.000399908
spmv_runtime_static,1,7,1000,0.000367215
spmv_runtime_static,1,8,1000,0.000407977
spmv_runtime_static,1,9,1000,0.000392669
spmv_runtime_static,1,10,1000,0.00043249
spmv_runtime_static,2,1,1000,0.000289739
spmv_runtime_static,2,2,1000,0.000376799
spmv_runtime_static,2,3,1000,0.000407011
spmv_runtime_static,2,4,1000,0.000292618
spmv_runtime_static,2,5,1000,0.000299521
spmv_runtime_static,2,6,1000,0.000287185
spmv_runtime_static,2,7,1000,0.000397599
spmv_runtime_static,2,8,1000,0.000292548
spmv_runtime_static,2,9,1000,0.000368252
spmv_runtime_static,2,10,1000,0.000416238
spmv_runtime_static,4,1,1000,0.000346838
spmv_runtime_static,4,2,1000,0.000340705
spmv_runtime_static,4,3,1000,0.000303163
spmv_runtime_static,4,4,1000,0.00110294
spmv_runtime_static,4,5,1000,0.000340281
spmv_runtime_static,4,6,1000,0.000283267
spmv_runtime_static,4,7,1000,0.000327771
spmv_runtime_static,4,8,1000,0.000395136
spmv_runtime_static,4,9,1000,0.000388905
spmv_runtime_static,4,10,1000,0.000356617
spmv_runtime_static,8,1,1000,0.00103749
spmv_runtime_static,8,2,1000,0.00108515
spmv_runtime_static,8,3,1000,0.000494229
spmv_runtime_static,8,4,1000,0.000478547
spmv_runtime_static,8,5,1000,0.00217347
spmv_runtime_static,8,6,1000,0.00102109
spmv_runtime_static,8,7,1000,0.000744108
spmv_runtime_static,8,8,1000,0.00106319
spmv_runtime_static,8,9,1000,0.0003941
spmv_runtime_static,8,10,1000,0.000385152
spmv_runtime_static,16,1,1000,0.0149262
spmv_runtime_static,16,2,1000,0.0107649
spmv_runtime_static,16,3,1000,0.006437
spmv_runtime_static,16,4,1000,0.00590631
spmv_runtime_static,16,5,1000,0.00200796
spmv_runtime_static,16,6,1000,0.0105514
spmv_runtime_static,16,7,1000,0.00457936
spmv_runtime_static,16,8,1000,0.00234627
spmv_runtime_static,16,9,1000,0.00823943
spmv_runtime_static,16,10,1000,0.0157973
spmv_runtime_static,32,1,1000,0.0130034
spmv_runtime_static,32,2,1000,0.013257
spmv_runtime_static,32,3,1000,0.0113484
spmv_runtime_static,32,4,1000,0.0113084
spmv_runtime_static,32,5,1000,0.0126621
spmv_runtime_static,32,6,1000,0.011268
spmv_runtime_static,32,7,1000,0.0108929
spmv_runtime_static,32,8,1000,0.0113355
spmv_runtime_static,32,9,1000,0.0164756
spmv_runtime_static,32,10,1000,0.0135982
spmv_runtime_static,64,1,1000,0.0220648
spmv_runtime_static,64,2,1000,0.0242029
spmv_runtime_static,64,3,1000,0.02874
spmv_runtime_static,64,4,1000,0.0228089
spmv_runtime_static,64,5,1000,0.023112
spmv_runtime_static,64,6,1000,0.0203974
spmv_runtime_static,64,7,1000,0.0206216
spmv_runtime_static,64,8,1000,0.0223033
spmv_runtime_static,64,9,1000,0.0277131
spmv_runtime_static,64,10,1000,0.0220034
spmv_runtime_static,96,1,1000,0.0275617
spmv_runtime_static,96,2,1000,0.0284528
spmv_runtime_static,96,3,1000,0.0286803
spmv_runtime_static,96,4,1000,0.0273858
spmv_runtime_static,96,5,1000,0.0275846
spmv_runtime_static,96,6,1000,0.027637
spmv_runtime_static,96,7,1000,0.0266378
spmv_runtime_static,96,8,1000,0.0269798
spmv_runtime_static,96,9,1000,0.0281334
spmv_runtime_static,96,10,1000,0.0313097
spmv_runtime_static,1,1,10000,0.000366238
spmv_runtime_static,1,2,10000,0.000356385
spmv_runtime_static,1,3,10000,0.000402586
spmv_runtime_static,1,4,10000,0.000345783
spmv_runtime_static,1,5,10000,0.000341146
spmv_runtime_static,1,6,10000,0.00036654
spmv_runtime_static,1,7,10000,0.000343421
spmv_runtime_static,1,8,10000,0.000373134
spmv_runtime_static,1,9,10000,0.000407387
spmv_runtime_static,1,10,10000,0.00034603
spmv_runtime_static,2,1,10000,0.000528253
spmv_runtime_static,2,2,10000,0.000517339
spmv_runtime_static,2,3,10000,0.000474
spmv_runtime_static,2,4,10000,0.000497312
spmv_runtime_static,2,5,10000,0.000461759
spmv_runtime_static,2,6,10000,0.000463575
spmv_runtime_static,2,7,10000,0.000488401
spmv_runtime_static,2,8,10000,0.000440701
spmv_runtime_static,2,9,10000,0.000401728
spmv_runtime_static,2,10,10000,0.000468918
spmv_runtime_static,4,1,10000,0.000531013
spmv_runtime_static,4,2,10000,0.000507197
spmv_runtime_static,4,3,10000,0.00051638
spmv_runtime_static,4,4,10000,0.0005381
spmv_runtime_static,4,5,10000,0.000487327
spmv_runtime_static,4,6,10000,0.000540878
spmv_runtime_static,4,7,10000,0.000916634
spmv_runtime_static,4,8,10000,0.000525137
spmv_runtime_static,4,9,10000,0.00061599
spmv_runtime_static,4,10,10000,0.000508289
spmv_runtime_static,8,1,10000,0.000633252
spmv_runtime_static,8,2,10000,0.000630818
spmv_runtime_static,8,3,10000,0.000647559
spmv_runtime_static,8,4,10000,0.000612654
spmv_runtime_static,8,5,10000,0.000539896
spmv_runtime_static,8,6,10000,0.000692921
spmv_runtime_static,8,7,10000,0.000687826
spmv_runtime_static,8,8,10000,0.000680793
spmv_runtime_static,8,9,10000,0.000648061
spmv_runtime_static,8,10,10000,0.000587583
spmv_runtime_static,16,1,10000,0.000942531
spmv_runtime_static,16,2,10000,0.0021125
spmv_runtime_static,16,3,10000,0.00103522
spmv_runtime_static,16,4,10000,0.00125897
spmv_runtime_static,16,5,10000,0.000922866
spmv_runtime_static,16,6,10000,0.00253292
spmv_runtime_static,16,7,10000,0.00117259
spmv_runtime_static,16,8,10000,0.000861796
spmv_runtime_static,16,9,10000,0.000938746
spmv_runtime_static,16,10,10000,0.00124751
spmv_runtime_static,32,1,10000,0.00975782
spmv_runtime_static,32,2,10000,0.00978363
spmv_runtime_static,32,3,10000,0.0102447
spmv_runtime_static,32,4,10000,0.0100734
spmv_runtime_static,32,5,10000,0.010005
spmv_runtime_static,32,6,10000,0.00989584
spmv_runtime_static,32,7,10000,0.00371072
spmv_runtime_static,32,8,10000,0.00990776
spmv_runtime_static,32,9,10000,0.0098892
spmv_runtime_static,32,10,10000,0.00282956
spmv_runtime_static,64,1,10000,0.0200158
spmv_runtime_static,64,2,10000,0.0185177
spmv_runtime_static,64,3,10000,0.0166974
spmv_runtime_static,64,4,10000,0.0203263
spmv_runtime_static,64,5,10000,0.0178949
spmv_runtime_static,64,6,10000,0.011691
spmv_runtime_static,64,7,10000,0.0144529
spmv_runtime_static,64,8,10000,0.0156826
spmv_runtime_static,64,9,10000,0.0152673
spmv_runtime_static,64,10,10000,0.0128017
spmv_runtime_static,96,1,10000,0.0275188
spmv_runtime_static,96,2,10000,0.0277908
spmv_runtime_static,96,3,10000,0.0223015
spmv_runtime_static,96,4,10000,0.0209828
spmv_runtime_static,96,5,10000,0.0225953
spmv_runtime_static,96,6,10000,0.0285747
spmv_runtime_static,96,7,10000,0.0222119
spmv_runtime_static,96,8,10000,0.0243037
spmv_runtime_static,96,9,10000,0.030254
spmv_runtime_static,96,10,10000,0.0251075
spmv_runtime_dynamic,1,1,10,0.000350616
spmv_runtime_dynamic,1,2,10,0.000389686
spmv_runtime_dynamic,1,3,10,0.000349365
spmv_runtime_dynamic,1,4,10,0.000341523
spmv_runtime_dynamic,1,5,10,0.000361566
spmv_runtime_dynamic,1,6,10,0.000393682
spmv_runtime_dynamic,1,7,10,0.000331648
spmv_runtime_dynamic,1,8,10,0.000336749
spmv_runtime_dynamic,1,9,10,0.000327711
spmv_runtime_dynamic,1,10,10,0.000394692
spmv_runtime_dynamic,2,1,10,0.000423467
spmv_runtime_dynamic,2,2,10,0.000345976
spmv_runtime_dynamic,2,3,10,0.000350398
spmv_runtime_dynamic,2,4,10,0.000423767
spmv_runtime_dynamic,2,5,10,0.000404473
spmv_runtime_dynamic,2,6,10,0.000359175
