Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.0018894
spmv_runtime_static,1,2,10,0.00188292
spmv_runtime_static,1,3,10,0.00203338
spmv_runtime_static,1,4,10,0.00194818
spmv_runtime_static,1,5,10,0.00188745
spmv_runtime_static,1,6,10,0.00187184
spmv_runtime_static,1,7,10,0.00187492
spmv_runtime_static,1,8,10,0.00189929
spmv_runtime_static,1,9,10,0.00191789
spmv_runtime_static,1,10,10,0.00218293
spmv_runtime_static,2,1,10,0.0182639
spmv_runtime_static,2,2,10,0.0187586
spmv_runtime_static,2,3,10,0.0191985
spmv_runtime_static,2,4,10,0.018297
spmv_runtime_static,2,5,10,0.00843552
spmv_runtime_static,2,6,10,0.0194717
spmv_runtime_static,2,7,10,0.0185038
spmv_runtime_static,2,8,10,0.014905
spmv_runtime_static,2,9,10,0.0169908
spmv_runtime_static,2,10,10,0.0164914
spmv_runtime_static,4,1,10,0.026445
spmv_runtime_static,4,2,10,0.0206096
spmv_runtime_static,4,3,10,0.0158923
spmv_runtime_static,4,4,10,0.0197825
spmv_runtime_static,4,5,10,0.0268501
spmv_runtime_static,4,6,10,0.0120005
spmv_runtime_static,4,7,10,0.0212422
spmv_runtime_static,4,8,10,0.0189417
spmv_runtime_static,4,9,10,0.0266263
spmv_runtime_static,4,10,10,0.0157148
spmv_runtime_static,8,1,10,0.0355429
spmv_runtime_static,8,2,10,0.0360414
spmv_runtime_static,8,3,10,0.0389048
spmv_runtime_static,8,4,10,0.0379349
spmv_runtime_static,8,5,10,0.0217689
spmv_runtime_static,8,6,10,0.0252385
spmv_runtime_static,8,7,10,0.0153246
spmv_runtime_static,8,8,10,0.0304871
spmv_runtime_static,8,9,10,0.0266878
spmv_runtime_static,8,10,10,0.0296586
spmv_runtime_static,16,1,10,0.0316081
spmv_runtime_static,16,2,10,0.0318322
spmv_runtime_static,16,3,10,0.0366274
spmv_runtime_static,16,4,10,0.0286227
spmv_runtime_static,16,5,10,0.0305996
spmv_runtime_static,16,6,10,0.0237654
spmv_runtime_static,16,7,10,0.030388
spmv_runtime_static,16,8,10,0.0320735
spmv_runtime_static,16,9,10,0.0365795
spmv_runtime_static,16,10,10,0.0316821
spmv_runtime_static,32,1,10,0.0355817
spmv_runtime_static,32,2,10,0.0316517
spmv_runtime_static,32,3,10,0.0477524
spmv_runtime_static,32,4,10,0.0321486
spmv_runtime_static,32,5,10,0.0368562
spmv_runtime_static,32,6,10,0.0318118
spmv_runtime_static,32,7,10,0.0317713
spmv_runtime_static,32,8,10,0.0299912
spmv_runtime_static,32,9,10,0.0312796
spmv_runtime_static,32,10,10,0.034926
spmv_runtime_static,64,1,10,0.04286
spmv_runtime_static,64,2,10,0.0552729
spmv_runtime_static,64,3,10,0.0406639
spmv_runtime_static,64,4,10,0.0388936
spmv_runtime_static,64,5,10,0.0447738
spmv_runtime_static,64,6,10,0.039823
spmv_runtime_static,64,7,10,0.0376675
spmv_runtime_static,64,8,10,0.0473166
spmv_runtime_static,64,9,10,0.0415835
spmv_runtime_static,64,10,10,0.0384018
spmv_runtime_static,96,1,10,0.0412367
spmv_runtime_static,96,2,10,0.0489876
spmv_runtime_static,96,3,10,0.041052
spmv_runtime_static,96,4,10,0.0506448
spmv_runtime_static,96,5,10,0.0400658
spmv_runtime_static,96,6,10,0.0511832
spmv_runtime_static,96,7,10,0.0616728
spmv_runtime_static,96,8,10,0.046098
spmv_runtime_static,96,9,10,0.0437231
spmv_runtime_static,96,10,10,0.0454101
spmv_runtime_static,1,1,100,0.00251275
spmv_runtime_static,1,2,100,0.00243132
spmv_runtime_static,1,3,100,0.00248375
spmv_runtime_static,1,4,100,0.00252238
spmv_runtime_static,1,5,100,0.00246866
spmv_runtime_static,1,6,100,0.0027203
