Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000579858
spmv_runtime_static,1,2,10,0.000578179
spmv_runtime_static,1,3,10,0.000558604
spmv_runtime_static,1,4,10,0.000572148
spmv_runtime_static,1,5,10,0.000563078
spmv_runtime_static,1,6,10,0.000600345
spmv_runtime_static,1,7,10,0.000561915
spmv_runtime_static,1,8,10,0.000566346
spmv_runtime_static,1,9,10,0.000570303
spmv_runtime_static,1,10,10,0.000600899
spmv_runtime_static,2,1,10,0.000498948
spmv_runtime_static,2,2,10,0.000449947
spmv_runtime_static,2,3,10,0.000488566
spmv_runtime_static,2,4,10,0.000534217
spmv_runtime_static,2,5,10,0.000494353
spmv_runtime_static,2,6,10,0.000444365
spmv_runtime_static,2,7,10,0.00054781
spmv_runtime_static,2,8,10,0.000436171
spmv_runtime_static,2,9,10,0.000499705
spmv_runtime_static,2,10,10,0.000511658
spmv_runtime_static,4,1,10,0.000486874
spmv_runtime_static,4,2,10,0.000393596
spmv_runtime_static,4,3,10,0.000369518
spmv_runtime_static,4,4,10,0.000427805
spmv_runtime_static,4,5,10,0.000372793
spmv_runtime_static,4,6,10,0.000343323
spmv_runtime_static,4,7,10,0.000410016
spmv_runtime_static,4,8,10,0.000446813
spmv_runtime_static,4,9,10,0.000387583
spmv_runtime_static,4,10,10,0.000362615
spmv_runtime_static,8,1,10,0.000438893
spmv_runtime_static,8,2,10,0.000420007
spmv_runtime_static,8,3,10,0.000482745
spmv_runtime_static,8,4,10,0.000460911
spmv_runtime_static,8,5,10,0.000402445
spmv_runtime_static,8,6,10,0.00048308
spmv_runtime_static,8,7,10,0.000433207
spmv_runtime_static,8,8,10,0.000482088
spmv_runtime_static,8,9,10,0.000467734
spmv_runtime_static,8,10,10,0.00046393
spmv_runtime_static,16,1,10,0.000709396
spmv_runtime_static,16,2,10,0.000720463
spmv_runtime_static,16,3,10,0.000623187
spmv_runtime_static,16,4,10,0.000695513
spmv_runtime_static,16,5,10,0.000635897
spmv_runtime_static,16,6,10,0.000599632
spmv_runtime_static,16,7,10,0.000697471
spmv_runtime_static,16,8,10,0.000655271
spmv_runtime_static,16,9,10,0.000687311
spmv_runtime_static,16,10,10,0.000660628
spmv_runtime_static,32,1,10,0.00128239
spmv_runtime_static,32,2,10,0.000884377
spmv_runtime_static,32,3,10,0.00228751
spmv_runtime_static,32,4,10,0.00132491
spmv_runtime_static,32,5,10,0.00307621
spmv_runtime_static,32,6,10,0.00233884
spmv_runtime_static,32,7,10,0.00129028
spmv_runtime_static,32,8,10,0.00101411
spmv_runtime_static,32,9,10,0.00186015
spmv_runtime_static,32,10,10,0.000979166
spmv_runtime_static,64,1,10,0.0107316
spmv_runtime_static,64,2,10,0.0109029
spmv_runtime_static,64,3,10,0.0108585
spmv_runtime_static,64,4,10,0.0105782
spmv_runtime_static,64,5,10,0.0153309
spmv_runtime_static,64,6,10,0.0153691
spmv_runtime_static,64,7,10,0.0106923
spmv_runtime_static,64,8,10,0.0104834
spmv_runtime_static,64,9,10,0.0106099
spmv_runtime_static,64,10,10,0.0105605
spmv_runtime_static,96,1,10,0.0197549
spmv_runtime_static,96,2,10,0.0198698
spmv_runtime_static,96,3,10,0.0199893
spmv_runtime_static,96,4,10,0.0196377
