Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.00014808
spmv_sequential,1,2,NA,0.000140356
spmv_sequential,1,3,NA,0.000153294
spmv_sequential,1,4,NA,0.000142765
spmv_sequential,1,5,NA,0.000137231
spmv_sequential,1,6,NA,0.000148376
spmv_sequential,1,7,NA,0.000152115
spmv_sequential,1,8,NA,0.000140453
spmv_sequential,1,9,NA,0.000138505
spmv_sequential,1,10,NA,0.000139182
spmv_sequential,2,1,NA,0.000138143
spmv_sequential,2,2,NA,0.000140092
spmv_sequential,2,3,NA,0.000139723
spmv_sequential,2,4,NA,0.000138273
spmv_sequential,2,5,NA,0.000137747
spmv_sequential,2,6,NA,0.00013964
spmv_sequential,2,7,NA,0.000147812
spmv_sequential,2,8,NA,0.000154121
spmv_sequential,2,9,NA,0.00013779
spmv_sequential,2,10,NA,0.000146716
spmv_sequential,4,1,NA,0.000137853
spmv_sequential,4,2,NA,0.00013803
spmv_sequential,4,3,NA,0.000137742
spmv_sequential,4,4,NA,0.000139769
spmv_sequential,4,5,NA,0.000138044
spmv_sequential,4,6,NA,0.000138664
spmv_sequential,4,7,NA,0.000141614
spmv_sequential,4,8,NA,0.000140458
spmv_sequential,4,9,NA,0.000138471
spmv_sequential,4,10,NA,0.000137759
spmv_sequential,8,1,NA,0.000139216
spmv_sequential,8,2,NA,0.000139011
spmv_sequential,8,3,NA,0.000139189
spmv_sequential,8,4,NA,0.000137995
spmv_sequential,8,5,NA,0.000141838
spmv_sequential,8,6,NA,0.000141135
spmv_sequential,8,7,NA,0.000137268
spmv_sequential,8,8,NA,0.000140758
spmv_sequential,8,9,NA,0.000137685
spmv_sequential,8,10,NA,0.00013873
spmv_sequential,16,1,NA,0.000139373
spmv_sequential,16,2,NA,0.000139504
spmv_sequential,16,3,NA,0.000139196
spmv_sequential,16,4,NA,0.000139361
spmv_sequential,16,5,NA,0.000138081
spmv_sequential,16,6,NA,0.000138622
spmv_sequential,16,7,NA,0.000137474
spmv_sequential,16,8,NA,0.000146004
spmv_sequential,16,9,NA,0.000137925
spmv_sequential,16,10,NA,0.000139178
spmv_sequential,32,1,NA,0.000142348
spmv_sequential,32,2,NA,0.000139532
spmv_sequential,32,3,NA,0.000140199
spmv_sequential,32,4,NA,0.000140824
spmv_sequential,32,5,NA,0.000143817
spmv_sequential,32,6,NA,0.000137812
spmv_sequential,32,7,NA,0.000138517
spmv_sequential,32,8,NA,0.000139063
spmv_sequential,32,9,NA,0.000138785
spmv_sequential,32,10,NA,0.000142197
spmv_sequential,64,1,NA,0.000137607
spmv_sequential,64,2,NA,0.000138069
spmv_sequential,64,3,NA,0.000142884
spmv_sequential,64,4,NA,0.000137827
spmv_sequential,64,5,NA,0.000138091
spmv_sequential,64,6,NA,0.00013844
spmv_sequential,64,7,NA,0.00014304
spmv_sequential,64,8,NA,0.000147319
spmv_sequential,64,9,NA,0.00013912
spmv_sequential,64,10,NA,0.000138921
spmv_sequential,96,1,NA,0.000139413
spmv_sequential,96,2,NA,0.000139488
spmv_sequential,96,3,NA,0.000137959
spmv_sequential,96,4,NA,0.000137687
spmv_sequential,96,5,NA,0.000143666
spmv_sequential,96,6,NA,0.000139218
spmv_sequential,96,7,NA,0.000137863
spmv_sequential,96,8,NA,0.00013771
spmv_sequential,96,9,NA,0.000143235
spmv_sequential,96,10,NA,0.000139615
spmv_static,1,1,NA,0.000148315
spmv_static,1,2,NA,0.000146864
spmv_static,1,3,NA,0.000145307
spmv_static,1,4,NA,0.000144867
spmv_static,1,5,NA,0.000146465
spmv_static,1,6,NA,0.000146981
spmv_static,1,7,NA,0.000146137
spmv_static,1,8,NA,0.000146952
spmv_static,1,9,NA,0.000147869
spmv_static,1,10,NA,0.000144568
spmv_static,2,1,NA,0.000382331
spmv_static,2,2,NA,0.000373341
spmv_static,2,3,NA,0.000365208
spmv_static,2,4,NA,0.000231971
spmv_static,2,5,NA,0.000380383
spmv_static,2,6,NA,0.000319526
spmv_static,2,7,NA,0.000366072
spmv_static,2,8,NA,0.000357651
spmv_static,2,9,NA,0.000391412
spmv_static,2,10,NA,0.000388899
spmv_static,4,1,NA,0.000271846
spmv_static,4,2,NA,0.000285824
spmv_static,4,3,NA,0.000305657
spmv_static,4,4,NA,0.000280718
spmv_static,4,5,NA,0.000296826
spmv_static,4,6,NA,0.000280468
spmv_static,4,7,NA,0.000288152
spmv_static,4,8,NA,0.000275098
spmv_static,4,9,NA,0.000268447
spmv_static,4,10,NA,0.000281288
spmv_static,8,1,NA,0.000292105
