Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000174262
spmv_runtime_static,1,2,10,0.000163627
spmv_runtime_static,1,3,10,0.000151187
spmv_runtime_static,1,4,10,0.000149106
spmv_runtime_static,1,5,10,0.000148144
spmv_runtime_static,1,6,10,0.000146871
spmv_runtime_static,1,7,10,0.000148412
spmv_runtime_static,1,8,10,0.000149311
spmv_runtime_static,1,9,10,0.000147842
spmv_runtime_static,1,10,10,0.000148421
spmv_runtime_static,2,1,10,0.000328378
spmv_runtime_static,2,2,10,0.000322183
spmv_runtime_static,2,3,10,0.000324786
spmv_runtime_static,2,4,10,0.000321623
spmv_runtime_static,2,5,10,0.000394439
spmv_runtime_static,2,6,10,0.000378831
spmv_runtime_static,2,7,10,0.000194597
spmv_runtime_static,2,8,10,0.000332282
spmv_runtime_static,2,9,10,0.000322067
spmv_runtime_static,2,10,10,0.000333359
spmv_runtime_static,4,1,10,0.000411725
spmv_runtime_static,4,2,10,0.000519363
spmv_runtime_static,4,3,10,0.000640836
spmv_runtime_static,4,4,10,0.00038663
spmv_runtime_static,4,5,10,0.000494397
spmv_runtime_static,4,6,10,0.000588897
spmv_runtime_static,4,7,10,0.000369699
spmv_runtime_static,4,8,10,0.000418532
spmv_runtime_static,4,9,10,0.000601529
spmv_runtime_static,4,10,10,0.000535535
spmv_runtime_static,8,1,10,0.000344871
spmv_runtime_static,8,2,10,0.00036833
spmv_runtime_static,8,3,10,0.000385873
spmv_runtime_static,8,4,10,0.000373159
spmv_runtime_static,8,5,10,0.000319683
spmv_runtime_static,8,6,10,0.000374248
spmv_runtime_static,8,7,10,0.000388851
spmv_runtime_static,8,8,10,0.00034152
spmv_runtime_static,8,9,10,0.000349016
spmv_runtime_static,8,10,10,0.000326684
spmv_runtime_static,16,1,10,0.000705297
spmv_runtime_static,16,2,10,0.000653806
spmv_runtime_static,16,3,10,0.000416936
spmv_runtime_static,16,4,10,0.000660521
spmv_runtime_static,16,5,10,0.000407175
spmv_runtime_static,16,6,10,0.000718519
spmv_runtime_static,16,7,10,0.000675517
spmv_runtime_static,16,8,10,0.000656005
spmv_runtime_static,16,9,10,0.000437102
spmv_runtime_static,16,10,10,0.000422102
spmv_runtime_static,32,1,10,0.00144575
spmv_runtime_static,32,2,10,0.00136424
spmv_runtime_static,32,3,10,0.00128586
spmv_runtime_static,32,4,10,0.000985475
spmv_runtime_static,32,5,10,0.00137858
spmv_runtime_static,32,6,10,0.00132053
spmv_runtime_static,32,7,10,0.00138082
spmv_runtime_static,32,8,10,0.00127786
spmv_runtime_static,32,9,10,0.00123674
spmv_runtime_static,32,10,10,0.00119344
spmv_runtime_static,64,1,10,0.00198577
spmv_runtime_static,64,2,10,0.00186814
spmv_runtime_static,64,3,10,0.00188911
spmv_runtime_static,64,4,10,0.00182465
spmv_runtime_static,64,5,10,0.00204812
spmv_runtime_static,64,6,10,0.00197025
spmv_runtime_static,64,7,10,0.00186221
spmv_runtime_static,64,8,10,0.00176752
spmv_runtime_static,64,9,10,0.00189892
