Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000254462
spmv_sequential,1,2,NA,0.000248776
spmv_sequential,1,3,NA,0.000247709
spmv_sequential,1,4,NA,0.000243955
spmv_sequential,1,5,NA,0.000243398
spmv_sequential,1,6,NA,0.000245596
spmv_sequential,1,7,NA,0.000247758
spmv_sequential,1,8,NA,0.000262162
spmv_sequential,1,9,NA,0.000244194
spmv_sequential,1,10,NA,0.000242341
spmv_sequential,2,1,NA,0.00024341
spmv_sequential,2,2,NA,0.000245403
spmv_sequential,2,3,NA,0.000245249
spmv_sequential,2,4,NA,0.000249787
spmv_sequential,2,5,NA,0.000265072
spmv_sequential,2,6,NA,0.000244791
spmv_sequential,2,7,NA,0.000266777
spmv_sequential,2,8,NA,0.000245376
spmv_sequential,2,9,NA,0.000243207
spmv_sequential,2,10,NA,0.00024951
spmv_sequential,4,1,NA,0.000244853
spmv_sequential,4,2,NA,0.000248385
spmv_sequential,4,3,NA,0.000242664
spmv_sequential,4,4,NA,0.000242801
spmv_sequential,4,5,NA,0.000245702
spmv_sequential,4,6,NA,0.000242716
spmv_sequential,4,7,NA,0.000250394
spmv_sequential,4,8,NA,0.00024462
spmv_sequential,4,9,NA,0.000248515
spmv_sequential,4,10,NA,0.000244845
spmv_sequential,8,1,NA,0.000255391
spmv_sequential,8,2,NA,0.000244312
spmv_sequential,8,3,NA,0.000242911
spmv_sequential,8,4,NA,0.00024488
spmv_sequential,8,5,NA,0.00024278
spmv_sequential,8,6,NA,0.000245348
spmv_sequential,8,7,NA,0.000254272
spmv_sequential,8,8,NA,0.000246232
spmv_sequential,8,9,NA,0.000246022
spmv_sequential,8,10,NA,0.000256279
spmv_sequential,16,1,NA,0.000244255
spmv_sequential,16,2,NA,0.000244133
spmv_sequential,16,3,NA,0.000247646
spmv_sequential,16,4,NA,0.000242671
spmv_sequential,16,5,NA,0.000245973
spmv_sequential,16,6,NA,0.000243469
spmv_sequential,16,7,NA,0.00024213
spmv_sequential,16,8,NA,0.000243672
spmv_sequential,16,9,NA,0.000242725
spmv_sequential,16,10,NA,0.000241714
spmv_sequential,32,1,NA,0.000248599
spmv_sequential,32,2,NA,0.000248488
spmv_sequential,32,3,NA,0.000245418
spmv_sequential,32,4,NA,0.000244888
spmv_sequential,32,5,NA,0.000247437
spmv_sequential,32,6,NA,0.000253567
spmv_sequential,32,7,NA,0.000242712
spmv_sequential,32,8,NA,0.00025438
spmv_sequential,32,9,NA,0.000246556
spmv_sequential,32,10,NA,0.000246893
spmv_sequential,64,1,NA,0.000249378
spmv_sequential,64,2,NA,0.000252001
spmv_sequential,64,3,NA,0.000245062
spmv_sequential,64,4,NA,0.000247216
spmv_sequential,64,5,NA,0.000242891
spmv_sequential,64,6,NA,0.000242966
spmv_sequential,64,7,NA,0.000247918
spmv_sequential,64,8,NA,0.00025044
spmv_sequential,64,9,NA,0.000247721
spmv_sequential,64,10,NA,0.000242878
spmv_sequential,96,1,NA,0.000243718
spmv_sequential,96,2,NA,0.000242985
spmv_sequential,96,3,NA,0.000245248
spmv_sequential,96,4,NA,0.000242105
spmv_sequential,96,5,NA,0.000241828
spmv_sequential,96,6,NA,0.000244956
spmv_sequential,96,7,NA,0.000245253
spmv_sequential,96,8,NA,0.000241804
spmv_sequential,96,9,NA,0.000242685
spmv_sequential,96,10,NA,0.000242152
spmv_static,1,1,NA,0.000257615
spmv_static,1,2,NA,0.000256957
spmv_static,1,3,NA,0.00025198
spmv_static,1,4,NA,0.000275174
spmv_static,1,5,NA,0.000257942
spmv_static,1,6,NA,0.000253779
spmv_static,1,7,NA,0.000254647
spmv_static,1,8,NA,0.000251886
spmv_static,1,9,NA,0.000251152
spmv_static,1,10,NA,0.000257347
spmv_static,2,1,NA,0.000437251
spmv_static,2,2,NA,0.000574663
spmv_static,2,3,NA,0.000566707
spmv_static,2,4,NA,0.00056257
spmv_static,2,5,NA,0.000377877
spmv_static,2,6,NA,0.000556458
spmv_static,2,7,NA,0.000480432
spmv_static,2,8,NA,0.000415281
spmv_static,2,9,NA,0.000582134
spmv_static,2,10,NA,0.000573096
spmv_static,4,1,NA,0.000382985
spmv_static,4,2,NA,0.000389539
spmv_static,4,3,NA,0.000375669
spmv_static,4,4,NA,0.000390375
spmv_static,4,5,NA,0.000388969
spmv_static,4,6,NA,0.000379183
