Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.001804
spmv_sequential,1,2,NA,0.00170867
spmv_sequential,1,3,NA,0.00170627
spmv_sequential,1,4,NA,0.00169633
spmv_sequential,1,5,NA,0.00169697
spmv_sequential,1,6,NA,0.00169724
spmv_sequential,1,7,NA,0.00169471
spmv_sequential,1,8,NA,0.00170707
spmv_sequential,1,9,NA,0.00170482
spmv_sequential,1,10,NA,0.00170507
spmv_sequential,2,1,NA,0.00169588
spmv_sequential,2,2,NA,0.0016959
spmv_sequential,2,3,NA,0.00169382
spmv_sequential,2,4,NA,0.00169411
spmv_sequential,2,5,NA,0.00169179
spmv_sequential,2,6,NA,0.00170134
spmv_sequential,2,7,NA,0.00169621
spmv_sequential,2,8,NA,0.00169856
spmv_sequential,2,9,NA,0.00170607
spmv_sequential,2,10,NA,0.00169642
spmv_sequential,4,1,NA,0.00170027
spmv_sequential,4,2,NA,0.00169287
spmv_sequential,4,3,NA,0.00169692
spmv_sequential,4,4,NA,0.00169206
spmv_sequential,4,5,NA,0.00169588
spmv_sequential,4,6,NA,0.00169239
spmv_sequential,4,7,NA,0.00170501
spmv_sequential,4,8,NA,0.00170097
spmv_sequential,4,9,NA,0.00169274
spmv_sequential,4,10,NA,0.00169041
spmv_sequential,8,1,NA,0.00169332
spmv_sequential,8,2,NA,0.00169266
spmv_sequential,8,3,NA,0.00169736
spmv_sequential,8,4,NA,0.00169899
spmv_sequential,8,5,NA,0.00170018
spmv_sequential,8,6,NA,0.00169196
spmv_sequential,8,7,NA,0.00169656
spmv_sequential,8,8,NA,0.00169079
spmv_sequential,8,9,NA,0.00169614
spmv_sequential,8,10,NA,0.00169296
spmv_sequential,16,1,NA,0.00171076
spmv_sequential,16,2,NA,0.00169183
spmv_sequential,16,3,NA,0.00170043
spmv_sequential,16,4,NA,0.00169258
spmv_sequential,16,5,NA,0.00169544
spmv_sequential,16,6,NA,0.0016996
spmv_sequential,16,7,NA,0.00169244
spmv_sequential,16,8,NA,0.00169083
spmv_sequential,16,9,NA,0.00169299
spmv_sequential,16,10,NA,0.0017003
spmv_sequential,32,1,NA,0.00169124
spmv_sequential,32,2,NA,0.00169108
spmv_sequential,32,3,NA,0.00169769
spmv_sequential,32,4,NA,0.00169543
spmv_sequential,32,5,NA,0.00169493
spmv_sequential,32,6,NA,0.00169132
spmv_sequential,32,7,NA,0.00169677
spmv_sequential,32,8,NA,0.00169655
spmv_sequential,32,9,NA,0.00168961
spmv_sequential,32,10,NA,0.00169645
spmv_sequential,64,1,NA,0.00170114
spmv_sequential,64,2,NA,0.00169178
spmv_sequential,64,3,NA,0.0016925
spmv_sequential,64,4,NA,0.00169672
spmv_sequential,64,5,NA,0.00170303
spmv_sequential,64,6,NA,0.00169603
spmv_sequential,64,7,NA,0.00169765
spmv_sequential,64,8,NA,0.00169572
spmv_sequential,64,9,NA,0.00169389
spmv_sequential,64,10,NA,0.00169224
spmv_sequential,96,1,NA,0.00169083
spmv_sequential,96,2,NA,0.00169318
spmv_sequential,96,3,NA,0.00169349
spmv_sequential,96,4,NA,0.00170193
spmv_sequential,96,5,NA,0.00171377
spmv_sequential,96,6,NA,0.00169798
spmv_sequential,96,7,NA,0.00169542
spmv_sequential,96,8,NA,0.00169385
spmv_sequential,96,9,NA,0.00168947
spmv_sequential,96,10,NA,0.00169623
spmv_static,1,1,NA,0.00170519
spmv_static,1,2,NA,0.00170847
spmv_static,1,3,NA,0.00170546
spmv_static,1,4,NA,0.00170034
spmv_static,1,5,NA,0.00170464
spmv_static,1,6,NA,0.00170144
spmv_static,1,7,NA,0.00170231
spmv_static,1,8,NA,0.00170573
spmv_static,1,9,NA,0.00170611
spmv_static,1,10,NA,0.00171179
spmv_static,2,1,NA,0.00113061
spmv_static,2,2,NA,0.00120159
spmv_static,2,3,NA,0.00100299
spmv_static,2,4,NA,0.00128742
spmv_static,2,5,NA,0.00128882
spmv_static,2,6,NA,0.00172295
spmv_static,2,7,NA,0.00139122
spmv_static,2,8,NA,0.00114656
spmv_static,2,9,NA,0.00152788
spmv_static,2,10,NA,0.00169339
spmv_static,4,1,NA,0.00132709
spmv_static,4,2,NA,0.0011322
spmv_static,4,3,NA,0.00120208
spmv_static,4,4,NA,0.00119424
spmv_static,4,5,NA,0.00118361
spmv_static,4,6,NA,0.000986473
spmv_static,4,7,NA,0.000954659
spmv_static,4,8,NA,0.000830545
spmv_static,4,9,NA,0.00123761
spmv_static,4,10,NA,0.00126617
spmv_static,8,1,NA,0.00104455
spmv_static,8,2,NA,0.000997859
spmv_static,8,3,NA,0.000991838
spmv_static,8,4,NA,0.000974604
spmv_static,8,5,NA,0.00092097
spmv_static,8,6,NA,0.000960118
spmv_static,8,7,NA,0.000902362
spmv_static,8,8,NA,0.000850649
spmv_static,8,9,NA,0.00100404
spmv_static,8,10,NA,0.00100865
spmv_static,16,1,NA,0.00079152
spmv_static,16,2,NA,0.000741929
spmv_static,16,3,NA,0.000740706
spmv_static,16,4,NA,0.00083033
spmv_static,16,5,NA,0.000745686
spmv_static,16,6,NA,0.000762109
spmv_static,16,7,NA,0.000780614
spmv_static,16,8,NA,0.000865291
spmv_static,16,9,NA,0.000783515
spmv_static,16,10,NA,0.000737716
spmv_static,32,1,NA,0.000900717
spmv_static,32,2,NA,0.00107023
spmv_static,32,3,NA,0.000929381
spmv_static,32,4,NA,0.00088996
spmv_static,32,5,NA,0.000847512
spmv_static,32,6,NA,0.000787871
spmv_static,32,7,NA,0.000827916
spmv_static,32,8,NA,0.000926976
spmv_static,32,9,NA,0.000799174
spmv_static,32,10,NA,0.000897363
spmv_static,64,1,NA,0.00144665
spmv_static,64,2,NA,0.00143988
spmv_static,64,3,NA,0.00142884
spmv_static,64,4,NA,0.00133909
spmv_static,64,5,NA,0.00136463
spmv_static,64,6,NA,0.00126276
spmv_static,64,7,NA,0.00141744
spmv_static,64,8,NA,0.00128947
spmv_static,64,9,NA,0.00140444
spmv_static,64,10,NA,0.00139133
spmv_static,96,1,NA,0.0146651
spmv_static,96,2,NA,0.00995425
spmv_static,96,3,NA,0.00986135
spmv_static,96,4,NA,0.0098299
spmv_static,96,5,NA,0.00981343
spmv_static,96,6,NA,0.0101928
spmv_static,96,7,NA,0.00988244
spmv_static,96,8,NA,0.00997997
spmv_static,96,9,NA,0.00983656
spmv_static,96,10,NA,0.00973434
spmv_manual,1,1,NA,0.00166058
spmv_manual,1,2,NA,0.00164089
spmv_manual,1,3,NA,0.00165575
spmv_manual,1,4,NA,0.00165845
spmv_manual,1,5,NA,0.00165094
spmv_manual,1,6,NA,0.00164552
spmv_manual,1,7,NA,0.0016448
spmv_manual,1,8,NA,0.00166349
spmv_manual,1,9,NA,0.00165833
spmv_manual,1,10,NA,0.00165174
spmv_manual,2,1,NA,0.00158633
spmv_manual,2,2,NA,0.00107425
spmv_manual,2,3,NA,0.00106487
spmv_manual,2,4,NA,0.00141591
spmv_manual,2,5,NA,0.0011367
spmv_manual,2,6,NA,0.00147918
spmv_manual,2,7,NA,0.00123759
spmv_manual,2,8,NA,0.00146018
spmv_manual,2,9,NA,0.00189416
spmv_manual,2,10,NA,0.00156503
spmv_manual,4,1,NA,0.00120929
spmv_manual,4,2,NA,0.000986028
spmv_manual,4,3,NA,0.00118905
spmv_manual,4,4,NA,0.00121463
spmv_manual,4,5,NA,0.00131127
spmv_manual,4,6,NA,0.00126805
spmv_manual,4,7,NA,0.00133528
spmv_manual,4,8,NA,0.00117652
spmv_manual,4,9,NA,0.00123947
spmv_manual,4,10,NA,0.000928999
spmv_manual,8,1,NA,0.000847328
spmv_manual,8,2,NA,0.000763572
spmv_manual,8,3,NA,0.00098281
spmv_manual,8,4,NA,0.000987249
spmv_manual,8,5,NA,0.000780589
spmv_manual,8,6,NA,0.000963406
spmv_manual,8,7,NA,0.000975916
spmv_manual,8,8,NA,0.000916147
spmv_manual,8,9,NA,0.000954469
spmv_manual,8,10,NA,0.000963558
spmv_manual,16,1,NA,0.000728891
spmv_manual,16,2,NA,0.000744392
spmv_manual,16,3,NA,0.000741616
spmv_manual,16,4,NA,0.000613227
spmv_manual,16,5,NA,0.000728158
spmv_manual,16,6,NA,0.000797963
spmv_manual,16,7,NA,0.000782482
spmv_manual,16,8,NA,0.00075761
spmv_manual,16,9,NA,0.000773115
