Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000467937
spmv_sequential,1,2,NA,0.000472615
spmv_sequential,1,3,NA,0.000459361
spmv_sequential,1,4,NA,0.000457784
spmv_sequential,1,5,NA,0.000460918
spmv_sequential,1,6,NA,0.000467265
spmv_sequential,1,7,NA,0.000459734
spmv_sequential,1,8,NA,0.000467189
spmv_sequential,1,9,NA,0.000459268
spmv_sequential,1,10,NA,0.000460419
spmv_sequential,2,1,NA,0.00046673
spmv_sequential,2,2,NA,0.000463267
spmv_sequential,2,3,NA,0.000458514
spmv_sequential,2,4,NA,0.000460793
spmv_sequential,2,5,NA,0.000466448
spmv_sequential,2,6,NA,0.000457793
spmv_sequential,2,7,NA,0.000457205
spmv_sequential,2,8,NA,0.000459557
spmv_sequential,2,9,NA,0.000457603
spmv_sequential,2,10,NA,0.000457073
spmv_sequential,4,1,NA,0.000458723
spmv_sequential,4,2,NA,0.00045515
spmv_sequential,4,3,NA,0.000459764
spmv_sequential,4,4,NA,0.000459651
spmv_sequential,4,5,NA,0.000456062
spmv_sequential,4,6,NA,0.000458598
spmv_sequential,4,7,NA,0.000456755
spmv_sequential,4,8,NA,0.00045529
spmv_sequential,4,9,NA,0.000455788
spmv_sequential,4,10,NA,0.000455244
spmv_sequential,8,1,NA,0.000459689
spmv_sequential,8,2,NA,0.000455826
spmv_sequential,8,3,NA,0.000459953
spmv_sequential,8,4,NA,0.000459438
spmv_sequential,8,5,NA,0.000459599
spmv_sequential,8,6,NA,0.000461664
spmv_sequential,8,7,NA,0.000459463
spmv_sequential,8,8,NA,0.000459835
spmv_sequential,8,9,NA,0.000455668
spmv_sequential,8,10,NA,0.000456964
spmv_sequential,16,1,NA,0.000460786
spmv_sequential,16,2,NA,0.000461709
spmv_sequential,16,3,NA,0.00046226
spmv_sequential,16,4,NA,0.00045736
spmv_sequential,16,5,NA,0.000456797
spmv_sequential,16,6,NA,0.000456295
spmv_sequential,16,7,NA,0.000456712
spmv_sequential,16,8,NA,0.000459969
spmv_sequential,16,9,NA,0.000459632
spmv_sequential,16,10,NA,0.00045928
spmv_sequential,32,1,NA,0.000458938
spmv_sequential,32,2,NA,0.000458884
spmv_sequential,32,3,NA,0.000461305
spmv_sequential,32,4,NA,0.000455788
spmv_sequential,32,5,NA,0.000455048
spmv_sequential,32,6,NA,0.000456153
spmv_sequential,32,7,NA,0.000457683
spmv_sequential,32,8,NA,0.000461893
spmv_sequential,32,9,NA,0.000458935
spmv_sequential,32,10,NA,0.000456226
spmv_sequential,64,1,NA,0.000460452
spmv_sequential,64,2,NA,0.000457617
spmv_sequential,64,3,NA,0.000456653
spmv_sequential,64,4,NA,0.000459246
spmv_sequential,64,5,NA,0.000458797
spmv_sequential,64,6,NA,0.000455261
spmv_sequential,64,7,NA,0.000456723
spmv_sequential,64,8,NA,0.00045632
spmv_sequential,64,9,NA,0.000460052
spmv_sequential,64,10,NA,0.00046635
spmv_sequential,96,1,NA,0.000456357
spmv_sequential,96,2,NA,0.00046293
spmv_sequential,96,3,NA,0.000459839
spmv_sequential,96,4,NA,0.000458987
spmv_sequential,96,5,NA,0.000465751
spmv_sequential,96,6,NA,0.000458817
spmv_sequential,96,7,NA,0.000460046
spmv_sequential,96,8,NA,0.000457916
spmv_sequential,96,9,NA,0.000455785
spmv_sequential,96,10,NA,0.000456423
spmv_static,1,1,NA,0.000488001
spmv_static,1,2,NA,0.000496469
spmv_static,1,3,NA,0.000493526
spmv_static,1,4,NA,0.000501603
spmv_static,1,5,NA,0.000491838
spmv_static,1,6,NA,0.000490125
spmv_static,1,7,NA,0.000492404
spmv_static,1,8,NA,0.000492775
spmv_static,1,9,NA,0.000493225
spmv_static,1,10,NA,0.000493858
spmv_static,2,1,NA,0.00101737
spmv_static,2,2,NA,0.000464869
spmv_static,2,3,NA,0.000885375
spmv_static,2,4,NA,0.00056621
spmv_static,2,5,NA,0.000822505
spmv_static,2,6,NA,0.000557917
spmv_static,2,7,NA,0.000643504
spmv_static,2,8,NA,0.000478963
spmv_static,2,9,NA,0.000515739
spmv_static,2,10,NA,0.000625127
spmv_static,4,1,NA,0.000468732
spmv_static,4,2,NA,0.000398897
spmv_static,4,3,NA,0.000645237
spmv_static,4,4,NA,0.00058666
spmv_static,4,5,NA,0.000634136
spmv_static,4,6,NA,0.000558187
spmv_static,4,7,NA,0.000569261
spmv_static,4,8,NA,0.000625272
spmv_static,4,9,NA,0.000635113
spmv_static,4,10,NA,0.000475096
spmv_static,8,1,NA,0.000484164
spmv_static,8,2,NA,0.000471565
spmv_static,8,3,NA,0.000470954
spmv_static,8,4,NA,0.000473027
spmv_static,8,5,NA,0.00045152
spmv_static,8,6,NA,0.000462316
spmv_static,8,7,NA,0.000436971
